GR;PODGR;RODZ;TYP;OPIS;NR_ODPADU
01;;;B;Odpady powstaj¹ce przy poszukiwaniu, wydobywaniu, fizycznej i chemicznej przeróbce rud oraz innych kopalin;1
01;01;;B;Odpady z wydobywania kopalin;2
01;01;01;B;Odpady z wydobywania rud metali (z wy³¹czeniem 01 01 80);3
01;01;02;B;Odpady z wydobywania rud metali (z wy³¹czeniem 01 01 80);4
01;01;80;B;Odpady skalne z górnictwa miedzi, cynku i o³owiu;5
01;03;;B;Odpady z fizycznej i chemicznej przeróbki rud metali;6
01;03;04;N;Odpady z przeróbki rud siarczkowych powoduj¹ce samoczynne zakwaszenie œrodowiska w czasie sk³adowania;7
01;03;05;N;Inne odpady poprzeróbcze zawieraj¹ce substancje niebezpieczne (z wy³¹czeniem 01 03 80);8
01;03;06;B;Inne odpady poprzeróbcze ni¿ wymienione w 01 03 04, 01 03 05, 01 03 80 i 01 03 81;9
01;03;07;N;Inne odpady zawieraj¹ce substancje niebezpieczne z fizycznej i chemicznej przeróbki rud metali;10
01;03;08;B;Odpady w postaci py³ów i proszków inne ni¿ wymienione w 01 03 07;11
01;03;09;B;Czerwony szlam powstaj¹cy przy produkcji tlenku glinu inny ni¿ wymieniony w 01 03 07;12
01;03;80;N;Odpady z flotacyjnego wzbogacania rud metali nie¿elaznych zawieraj¹ce substancje niebezpieczne;13
01;03;81;B;Odpady z flotacyjnego wzbogacania rud metali nie¿elaznych inne ni¿ wymienione w 01 03 80;14
01;03;99;B;Inne nie wymienione odpady;15
01;04;;B;Odpady z fizycznej i chemicznej przeróbki kopalin innych ni¿ rudy metali;16
01;04;07;N;Odpady zawieraj¹ce niebezpieczne substancje z fizycznej i chemicznej przeróbki kopalin innych ni¿ rudy metali;17
01;04;08;B;Odpady ¿wiru lub skruszone ska³y inne ni¿ wymienione w 01 04 07;18
01;04;09;B;Odpadowe piaski i i³y;19
01;04;10;B;Odpady w postaci py³ów i proszków inne ni¿ wymienione w 01 04 07;20
01;04;11;B;Odpady powstaj¹ce przy wzbogacaniu soli kamiennej i potasowej inne ni¿ wymienione w 01 04 07;21
01;04;12;B;Odpady powstaj¹ce przy p³ukaniu i oczyszczaniu kopalin inne ni¿ wymienione w 01 04 07 i 01 04 11;22
01;04;13;B;Odpady powstaj¹ce przy ciêciu i obróbce postaciowej ska³ inne ni¿ wymienione w 01 04 07;23
01;04;80;N;Odpady z flotacyjnego wzbogacania wêgla zawieraj¹ce substancje niebezpieczne;24
01;04;81;B;Odpady z flotacyjnego wzbogacania wêgla inne ni¿ wymienione w 01 04 80;25
01;04;82;N;Odpady z flotacyjnego wzbogacania rud siarkowych zawieraj¹ce substancje niebezpieczne;26
01;04;83;B;Odpady z flotacyjnego wzbogacania rud siarkowych inne ni¿ wymienione w 01 04 82;27
01;04;84;N;Odpady z flotacyjnego wzbogacania rud fosforowych (fosforytów, apatytów) zawieraj¹ce substancje niebezpieczne;28
01;04;85;B;Odpady z flotacyjnego wzbogacania rud fosforowych (fosforytów, apatytów) inne ni¿ wymienione w 01 04 84;29
01;04;99;B;Inne nie wymienione odpady;30
01;05;;B;P³uczki wiertnicze i inne odpady wiertnicze;31
01;05;04;B;P³uczki i odpady wiertnicze z odwiertów wody s³odkiej;32
01;05;05;N;P³uczki i odpady wiertnicze zawieraj¹ce ropê naftow¹;33
01;05;06;N;P³uczki i odpady wiertnicze zawieraj¹ce substancje niebezpieczne;34
01;05;07;B;P³uczki wiertnicze zawieraj¹ce baryt i odpady inne ni¿ wymienione w 01 05 05 i 01 05 06;35
01;05;08;B;P³uczki wiertnicze zawieraj¹ce chlorki i odpady inne ni¿ wymienione w 01 05 05 i 01 05 06;36
01;05;99;B;Inne nie wymienione odpady;37
02;;;B;Odpady z rolnictwa, sadownictwa, upraw hydroponicznych, rybo³ówstwa, leœnictwa, ³owiectwa oraz przetwórstwa ¿ywnoœci;38
02;01;;B;Odpady z rolnictwa, sadownictwa, upraw hydroponicznych, leœnictwa, ³owiectwa i rybo³ówstwa;39
02;01;01;B;Osady z mycia i czyszczenia;40
02;01;02;B;Odpadowa tkanka zwierzêca;41
02;01;03;B;Odpadowa masa roœlinna;42
02;01;04;B;Odpady tworzyw sztucznych (z wy³¹czeniem opakowañ);43
02;01;06;B;Odchody zwierzêce;44
02;01;07;B;Odpady z gospodarki leœnej;45
02;01;08;N;Odpady agrochemikaliów zawieraj¹ce substancje niebezpieczne, w tym œrodki ochrony roœlin I i II klasy toksycznoœci (bardzo toksyczne i toksyczne);46
02;01;09;B;Odpady agrochemikaliów inne ni¿ wymienione w 02 01 08;47
02;01;10;B;Odpady metalowe;48
02;01;80;N;Zwierzêta pad³e i ubite z koniecznoœci oraz odpadowa tkanka zwierzêca wykazuj¹ce w³aœciwoœci niebezpieczne;49
02;01;81;B;Zwierzêta pad³e i odpadowa tkanka zwierzêca stanowi¹ce materia³ szczególnego i wysokiego ryzyka inne ni¿ wymienione w 02 01 80;50
02;01;82;B;Zwierzêta pad³e i ubite z koniecznoœci;51
02;01;83;B;Odpady z upraw hydroponicznych;52
02;01;99;B;Inne nie wymienione odpady;53
02;02;;B;Odpady z przygotowania i przetwórstwa produktów spo¿ywczych pochodzenia zwierzêcego;54
02;02;01;B;Odpady z mycia i przygotowywania surowców;55
02;02;02;B;Odpadowa tkanka zwierzêca;56
02;02;03;B;Surowce i produkty nie nadaj¹ce siê do spo¿ycia i przetwórstwa;57
02;02;04;B;Osady z zak³adowych oczyszczalni œcieków;58
02;02;80;N;Odpadowa tkanka zwierzêca wykazuj¹ca w³aœciwoœci niebezpieczne;59
02;02;81;B;Odpadowa tkanka zwierzêca stanowi¹ca materia³ szczególnego i wysokiego ryzyka, w tym odpady z produkcji pasz miêsno-kostnych inne ni¿ wymienione w 02 02 80;60
02;02;82;B;Odpady z produkcji m¹czki rybnej inne ni¿ wymienione w 02 02 80;61
02;02;99;B;Inne nie wymienione odpady;62
02;03;;B;Odpady z przygotowania, przetwórstwa produktów i u¿ywek spo¿ywczych oraz odpady pochodzenia roœlinnego, w tym odpady z owoców, warzyw, produktów zbo¿owych, olejów jadalnych, kakao, kawy, herbaty oraz przygotowania i przetwórstwa tytoniu, dro¿d¿y i produkcji ekstraktów dro¿d¿owych, przygotowywania i fermentacji melasy (z wy³¹czeniem 02 07);63
02;03;01;B;Szlamy z mycia, oczyszczania, obierania, odwirowywania i oddzielania surowców;64
02;03;02;B;Odpady konserwantów;65
02;03;03;B;Odpady poekstrakcyjne;66
02;03;04;B;Surowce i produkty nie nadaj¹ce siê do spo¿ycia i przetwórstwa;67
