GR;PODGR;RODZ;TYP;OPIS;NR_ODPADU
1;;;B;Odpady powstające przy poszukiwaniu, wydobywaniu, fizycznej i chemicznej przeróbce rud oraz innych kopalin;1
1;1.0;;B;Odpady z wydobywania kopalin;2
1;1.0;1.0;B;Odpady z wydobywania rud metali (z wyłączeniem 01 01 80);3
1;1.0;2.0;B;Odpady z wydobywania rud metali (z wyłączeniem 01 01 80);4
1;1.0;80.0;B;Odpady skalne z górnictwa miedzi, cynku i ołowiu;5
1;3.0;;B;Odpady z fizycznej i chemicznej przeróbki rud metali;6
1;3.0;4.0;N;Odpady z przeróbki rud siarczkowych powodujące samoczynne zakwaszenie środowiska w czasie składowania;7
1;3.0;5.0;N;Inne odpady poprzeróbcze zawierające substancje niebezpieczne (z wyłączeniem 01 03 80);8
1;3.0;6.0;B;Inne odpady poprzeróbcze niż wymienione w 01 03 04, 01 03 05, 01 03 80 i 01 03 81;9
1;3.0;7.0;N;Inne odpady zawierające substancje niebezpieczne z fizycznej i chemicznej przeróbki rud metali;10
1;3.0;8.0;B;Odpady w postaci pyłów i proszków inne niż wymienione w 01 03 07;11
1;3.0;9.0;B;Czerwony szlam powstający przy produkcji tlenku glinu inny niż wymieniony w 01 03 07;12
1;3.0;80.0;N;Odpady z flotacyjnego wzbogacania rud metali nieżelaznych zawierające substancje niebezpieczne;13
1;3.0;81.0;B;Odpady z flotacyjnego wzbogacania rud metali nieżelaznych inne niż wymienione w 01 03 80;14
1;3.0;99.0;B;Inne nie wymienione odpady;15
1;4.0;;B;Odpady z fizycznej i chemicznej przeróbki kopalin innych niż rudy metali;16
1;4.0;7.0;N;Odpady zawierające niebezpieczne substancje z fizycznej i chemicznej przeróbki kopalin innych niż rudy metali;17
1;4.0;8.0;B;Odpady żwiru lub skruszone skały inne niż wymienione w 01 04 07;18
1;4.0;9.0;B;Odpadowe piaski i iły;19
1;4.0;10.0;B;Odpady w postaci pyłów i proszków inne niż wymienione w 01 04 07;20
1;4.0;11.0;B;Odpady powstające przy wzbogacaniu soli kamiennej i potasowej inne niż wymienione w 01 04 07;21
1;4.0;12.0;B;Odpady powstające przy płukaniu i oczyszczaniu kopalin inne niż wymienione w 01 04 07 i 01 04 11;22
1;4.0;13.0;B;Odpady powstające przy cięciu i obróbce postaciowej skał inne niż wymienione w 01 04 07;23
1;4.0;80.0;N;Odpady z flotacyjnego wzbogacania węgla zawierające substancje niebezpieczne;24
1;4.0;81.0;B;Odpady z flotacyjnego wzbogacania węgla inne niż wymienione w 01 04 80;25
1;4.0;82.0;N;Odpady z flotacyjnego wzbogacania rud siarkowych zawierające substancje niebezpieczne;26
1;4.0;83.0;B;Odpady z flotacyjnego wzbogacania rud siarkowych inne niż wymienione w 01 04 82;27
1;4.0;84.0;N;Odpady z flotacyjnego wzbogacania rud fosforowych (fosforytów, apatytów) zawierające substancje niebezpieczne;28
1;4.0;85.0;B;Odpady z flotacyjnego wzbogacania rud fosforowych (fosforytów, apatytów) inne niż wymienione w 01 04 84;29
1;4.0;99.0;B;Inne nie wymienione odpady;30
1;5.0;;B;Płuczki wiertnicze i inne odpady wiertnicze;31
1;5.0;4.0;B;Płuczki i odpady wiertnicze z odwiertów wody słodkiej;32
1;5.0;5.0;N;Płuczki i odpady wiertnicze zawierające ropę naftową;33
1;5.0;6.0;N;Płuczki i odpady wiertnicze zawierające substancje niebezpieczne;34
1;5.0;7.0;B;Płuczki wiertnicze zawierające baryt i odpady inne niż wymienione w 01 05 05 i 01 05 06;35
1;5.0;8.0;B;Płuczki wiertnicze zawierające chlorki i odpady inne niż wymienione w 01 05 05 i 01 05 06;36
1;5.0;99.0;B;Inne nie wymienione odpady;37
2;;;B;Odpady z rolnictwa, sadownictwa, upraw hydroponicznych, rybołówstwa, leśnictwa, łowiectwa oraz przetwórstwa żywności;38
2;1.0;;B;Odpady z rolnictwa, sadownictwa, upraw hydroponicznych, leśnictwa, łowiectwa i rybołówstwa;39
2;1.0;1.0;B;Osady z mycia i czyszczenia;40
2;1.0;2.0;B;Odpadowa tkanka zwierzęca;41
2;1.0;3.0;B;Odpadowa masa roślinna;42
2;1.0;4.0;B;Odpady tworzyw sztucznych (z wyłączeniem opakowań);43
2;1.0;6.0;B;Odchody zwierzęce;44
2;1.0;7.0;B;Odpady z gospodarki leśnej;45
2;1.0;8.0;N;Odpady agrochemikaliów zawierające substancje niebezpieczne, w tym środki ochrony roślin I i II klasy toksyczności (bardzo toksyczne i toksyczne);46
2;1.0;9.0;B;Odpady agrochemikaliów inne niż wymienione w 02 01 08;47
2;1.0;10.0;B;Odpady metalowe;48
2;1.0;80.0;N;Zwierzęta padłe i ubite z konieczności oraz odpadowa tkanka zwierzęca wykazujące właściwości niebezpieczne;49
2;1.0;81.0;B;Zwierzęta padłe i odpadowa tkanka zwierzęca stanowiące materiał szczególnego i wysokiego ryzyka inne niż wymienione w 02 01 80;50
2;1.0;82.0;B;Zwierzęta padłe i ubite z konieczności;51
2;1.0;83.0;B;Odpady z upraw hydroponicznych;52
2;1.0;99.0;B;Inne nie wymienione odpady;53
2;2.0;;B;Odpady z przygotowania i przetwórstwa produktów spożywczych pochodzenia zwierzęcego;54
2;2.0;1.0;B;Odpady z mycia i przygotowywania surowców;55
2;2.0;2.0;B;Odpadowa tkanka zwierzęca;56
2;2.0;3.0;B;Surowce i produkty nie nadające się do spożycia i przetwórstwa;57
2;2.0;4.0;B;Osady z zakładowych oczyszczalni ścieków;58
2;2.0;80.0;N;Odpadowa tkanka zwierzęca wykazująca właściwości niebezpieczne;59
2;2.0;81.0;B;Odpadowa tkanka zwierzęca stanowiąca materiał szczególnego i wysokiego ryzyka, w tym odpady z produkcji pasz mięsno-kostnych inne niż wymienione w 02 02 80;60
2;2.0;82.0;B;Odpady z produkcji mączki rybnej inne niż wymienione w 02 02 80;61
2;2.0;99.0;B;Inne nie wymienione odpady;62
2;3.0;;B;Odpady z przygotowania, przetwórstwa produktów i używek spożywczych oraz odpady pochodzenia roślinnego, w tym odpady z owoców, warzyw, produktów zbożowych, olejów jadalnych, kakao, kawy, herbaty oraz przygotowania i przetwórstwa tytoniu, drożdży i produkcji ekstraktów drożdżowych, przygotowywania i fermentacji melasy (z wyłączeniem 02 07);63
2;3.0;1.0;B;Szlamy z mycia, oczyszczania, obierania, odwirowywania i oddzielania surowców;64
2;3.0;2.0;B;Odpady konserwantów;65
2;3.0;3.0;B;Odpady poekstrakcyjne;66
2;3.0;4.0;B;Surowce i produkty nie nadające się do spożycia i przetwórstwa;67
2;3.0;5.0;B;Osady z zakładowych oczyszczalni ścieków;68
2;3.0;80.0;B;Wytłoki, osady i inne odpady z przetwórstwa produktów roślinnych (z wyłączeniem 02 03 81);69
2;3.0;81.0;B;Odpady z produkcji pasz roślinnych;70
2;3.0;82.0;B;Odpady tytoniowe;71
2;3.0;99.0;B;Inne nie wymienione odpady;72
2;4.0;;B;Odpady z przemysłu cukrowniczego;73
2;4.0;1.0;B;Osady z oczyszczania i mycia buraków;74
2;4.0;2.0;B;Nienormatywny węglan wapnia oraz kreda cukrownicza (wapno defekacyjne);75
2;4.0;3.0;B;Osady z zakładowych oczyszczalni ścieków;76
2;4.0;80.0;B;Wysłodki;77
2;4.0;99.0;B;Inne nie wymienione odpady;78
2;5.0;;B;Odpady z przemysłu mleczarskiego;79
2;5.0;1.0;B;Surowce i produkty nieprzydatne do spożycia oraz przetwarzania;80
2;5.0;2.0;B;Osady z zakładowych oczyszczalni ścieków;81
2;5.0;80.0;B;Odpadowa serwatka;82
2;5.0;99.0;B;Inne nie wymienione odpady;83
2;6.0;;B;Odpady z przemysłu piekarniczego i cukierniczego;84
2;6.0;1.0;B;Surowce i produkty nieprzydatne do spożycia i przetwórstwa;85
2;6.0;2.0;B;Odpady konserwantów;86
2;6.0;3.0;B;Osady z zakładowych oczyszczalni ścieków;87
2;6.0;80.0;B;Nieprzydatne do wykorzystania tłuszcze spożywcze;88
2;6.0;99.0;B;Inne nie wymienione odpady;89
2;7.0;;B;Odpady z produkcji napojów alkoholowych i bezalkoholowych (z wyłączeniem kawy, herbaty i kakao);90
2;7.0;1.0;B;Odpady z mycia, oczyszczania i mechanicznego rozdrabniania surowców;91
2;7.0;2.0;B;Odpady z destylacji spirytualiów;92
2;7.0;3.0;B;Odpady z procesów chemicznych;93
2;7.0;4.0;B;Surowce i produkty nie przydatne do spożycia i przetwórstwa;94
2;7.0;5.0;B;Osady z zakładowych oczyszczalni ścieków;95
2;7.0;80.0;B;Wytłoki, osady moszczowe i pofermentacyjne, wywary;96
2;7.0;99.0;B;Inne nie wymienione odpady;97
3;;;B;Odpady z przetwórstwa drewna oraz z produkcji płyt i mebli, masy celulozowej, papieru i tektury;98
3;1.0;;B;Odpady z przetwórstwa drewna oraz z produkcji płyt i mebli;99
3;1.0;1.0;B;Odpady kory i korka;100
3;1.0;4.0;N;Trociny, wióry, ścinki, drewno, płyta wiórowa i fornir zawierające substancje niebezpieczne;101
3;1.0;5.0;B;Trociny, wióry, ścinki, drewno, płyta wiórowa i fornir inne niż wymienione w 03 01 04;102
3;1.0;80.0;N;Odpady z chemicznej przeróbki drewna zawierające substancje niebezpieczne;103
3;1.0;81.0;B;Odpady z chemicznej przeróbki drewna inne niż wymienione w 03 01 80;104
3;1.0;82.0;B;Osady z zakładowych oczyszczalni ścieków;105
3;1.0;99.0;B;Inne nie wymienione odpady;106
3;2.0;;B;Odpady powstające przy konserwacji drewna;107
3;2.0;1.0;N;Środki do konserwacji i impregnacji drewna nie zawierające związków chlorowcoorganicznych;108
3;2.0;2.0;N;Środki do konserwacji i impregnacji drewna zawierające związki chlorowcoorganiczne;109
3;2.0;3.0;N;Metaloorganiczne środki do konserwacji i impregnacji drewna;110
3;2.0;4.0;N;Nieorganiczne środki do konserwacji i impregnacji drewna;111
3;2.0;5.0;N;Inne środki do konserwacji i impregnacji drewna zawierające substancje niebezpieczne;112
3;2.0;99.0;B;Inne nie wymienione odpady;113
3;3.0;;B;Odpady z produkcji oraz z przetwórstwa masy celulozowej, papier;114
3;3.0;1.0;B;Odpady z kory i drewna;116
3;3.0;2.0;B;Osady i szlamy z produkcji celulozy metodą siarczynową (w tym osady ługu zielonego);117
3;3.0;5.0;B;Szlamy z odbarwiania makulatury;118
3;3.0;7.0;B;Mechanicznie wydzielone odrzuty z przeróbki makulatury i tektury;119
3;3.0;8.0;B;Odpady z sortowania papieru i tektury przeznaczone do recyklingu;120
3;3.0;9.0;B;Odpady szlamów defekosaturacyjnych;121
3;3.0;10.0;B;Odpady z włókna, szlamy z włókien, wypełniaczy i powłok pochodzące z mechanicznej separacji;122
3;3.0;11.0;B;Osady z zakładowych oczyszczalni ścieków inne niż wymienione w 03 03 10;123
3;3.0;80.0;B;Szlamy z procesów bielenia podchlorynem lub chlorem;124
3;3.0;81.0;B;Szlamy z innych procesów bielenia;125
3;3.0;99.0;B;Inne nie wymienione odpady;126
4;;;B;Odpady z przemysłu skórzanego, futrzarskiego i tekstylnego;127
4;1.0;;B;Odpady z przemysłu skórzanego i futrzarskiego;128
4;1.0;1.0;B;Odpady z mizdrowania (odzierki i dwoiny wapniowe);129
4;1.0;2.0;B;Odpady z wapnienia;130
4;1.0;3.0;N;Odpady z odtłuszczania zawierające rozpuszczalniki (bez fazy ciekłej);131
4;1.0;4.0;B;Brzeczka garbująca zawierająca chrom;132
4;1.0;5.0;B;Brzeczka garbująca nie zawierająca chromu;133
4;1.0;6.0;B;Osady zawierające chrom, zwłaszcza z zakładowych oczyszczalni ścieków;134
4;1.0;7.0;B;Osady nie zawierające chromu, zwłaszcza z zakładowych oczyszczalni ścieków;135
4;1.0;8.0;B;Odpady skóry wygarbowanej zawierające chrom (wióry, obcinki, pył ze szlifowania skór);136
4;1.0;9.0;B;Odpady z polerowania i wykańczania;137
4;1.0;99.0;B;Inne nie wymienione odpady;138
4;2.0;;B;Odpady z przemysłu tekstylnego;139
4;2.0;9.0;B;Odpady materiałów złożonych (np. tkaniny impregnowane, elastomery, plastomery);140
4;2.0;10.0;B;Substancje organiczne z produktów naturalnych (np. tłuszcze, woski);141
